scanned_at,sport,home,away,kickoff,side,book,odds,edge,consensus,n_books,confidence,model_signal,stake,result,actual_stake,pnl
2026-04-28 16:37 UTC,Bundesliga,VfL Wolfsburg,Bayern Munich,2026-05-09 16:30,AWAY,betfair_ex_uk,1.6,0.0363,0.6613,27,MED,+0.055,48.4,,40,
2026-04-28 16:37 UTC,Bundesliga,VfL Wolfsburg,Bayern Munich,2026-05-09 16:30,HOME,casumo,5.2,0.0348,0.2271,27,MED,-0.032,21.54,,15,
2026-04-28 16:37 UTC,Bundesliga,Bayern Munich,1. FC Heidenheim,2026-05-02 13:30,HOME,betfair_ex_uk,1.24,0.0318,0.8382,41,HIGH,-0.176,50.0,,10,
2026-04-28 16:37 UTC,Serie A,Cremonese,Lazio,2026-05-04 16:30,AWAY,betfair_ex_uk,2.38,0.0305,0.4506,41,HIGH,-0.010,26.24,,10,
2026-04-28 16:37 UTC,Championship,Sheffield Wednesday,West Bromwich Albion,2026-05-02 11:30,AWAY,betfair_ex_uk,1.57,0.0371,0.6741,36,HIGH,-0.435,50.0,,0,
2026-04-28 16:37 UTC,Championship,Millwall,Oxford United,2026-05-02 11:30,HOME,coral,1.4,0.0314,0.7456,38,HIGH,-0.017,50.0,,,
2026-04-28 16:37 UTC,Ligue 1,Metz,AS Monaco,2026-05-02 17:00,AWAY,matchbook,1.48,0.0363,0.7119,41,HIGH,-0.134,50.0,,0,
2026-04-28 16:37 UTC,Ligue 1,AS Monaco,Lille,2026-05-10 19:00,AWAY,betfred_uk,3.0,0.0346,0.3679,25,MED,-0.117,25.92,,,
2026-04-28 16:37 UTC,Ligue 1,Paris Saint Germain,Lorient,2026-05-02 15:00,HOME,smarkets,1.27,0.0303,0.8177,41,HIGH,-0.049,50.0,,15,
2026-04-28 16:37 UTC,Bundesliga 2,Dynamo Dresden,1. FC Kaiserslautern,2026-05-02 11:00,HOME,casumo,1.94,0.031,0.5491,38,HIGH,?,32.13,,10,
2026-04-28 16:37 UTC,ATP Madrid Open,Francisco Cerundolo,Alexander Blockx,2026-04-28 17:00,AWAY,betfair_ex_uk,3.25,0.0304,0.3381,35,HIGH,?,21.96,W,10,22.5
2026-04-29 02:23 UTC,Bundesliga,VfL Wolfsburg,Bayern Munich,2026-05-09 16:30,AWAY,betfair_ex_uk,1.6,0.0365,0.6615,28,MED,+0.055,48.67,,,
2026-04-29 02:23 UTC,Bundesliga,Bayern Munich,1. FC Heidenheim,2026-05-02 13:30,HOME,betfair_ex_uk,1.28,0.0361,0.8174,41,HIGH,-0.151,50.0,,,
2026-04-29 02:23 UTC,Bundesliga,Union Berlin,1. FC Köln,2026-05-02 13:30,HOME,matchbook,2.58,0.0334,0.421,41,HIGH,?,27.27,,,
2026-04-29 02:23 UTC,Bundesliga,VfL Wolfsburg,Bayern Munich,2026-05-09 16:30,HOME,casumo,5.2,0.0308,0.2231,28,MED,-0.032,19.06,,,
2026-04-29 02:23 UTC,Serie A,Torino,Sassuolo,2026-05-08 18:45,DRAW,betfred_uk,3.4,0.0613,0.3554,30,HIGH,+0.078,43.41,,,
2026-04-29 02:23 UTC,Serie A,Torino,Sassuolo,2026-05-08 18:45,AWAY,betway,3.2,0.0475,0.36,30,HIGH,+0.060,34.55,,,
2026-04-29 02:23 UTC,Serie A,Torino,Sassuolo,2026-05-08 18:45,HOME,betway,2.3,0.0454,0.4802,30,HIGH,-0.179,40.18,,,
2026-04-29 02:23 UTC,Serie A,Cremonese,Lazio,2026-05-04 16:30,AWAY,betfair_ex_uk,2.4,0.0328,0.4494,41,HIGH,-0.006,28.06,,,
2026-04-29 02:23 UTC,Serie A,Bologna,Cagliari,2026-05-03 10:30,HOME,betfair_ex_uk,1.87,0.0322,0.567,41,HIGH,-0.327,34.65,,,
2026-04-29 02:23 UTC,Championship,Ipswich Town,Queens Park Rangers,2026-05-02 11:30,AWAY,matchbook,10.5,0.0777,0.1729,25,MED,?,42.92,,,
2026-04-29 02:23 UTC,Championship,Sheffield Wednesday,West Bromwich Albion,2026-05-02 11:30,AWAY,betfair_ex_uk,1.57,0.0395,0.6764,36,HIGH,-0.435,50.0,,,
2026-04-29 02:23 UTC,Championship,Ipswich Town,Queens Park Rangers,2026-05-02 11:30,HOME,betfair_ex_uk,1.33,0.0352,0.7871,25,MED,?,50.0,,,
2026-04-29 02:23 UTC,Championship,Millwall,Oxford United,2026-05-02 11:30,HOME,coral,1.4,0.0316,0.7459,38,HIGH,-0.017,50.0,,,
2026-04-29 02:23 UTC,Ligue 1,Nantes,Marseille,2026-05-02 13:00,AWAY,betfair_ex_uk,1.75,0.0334,0.6049,41,HIGH,-0.077,39.05,,,
2026-04-29 02:23 UTC,Bundesliga 2,Hannover 96,SC Preußen Münster,2026-05-03 11:30,HOME,casumo,1.4,0.0317,0.7459,38,HIGH,?,50.0,,,
2026-04-29 02:23 UTC,Bundesliga 2,Dynamo Dresden,1. FC Kaiserslautern,2026-05-02 11:00,HOME,casumo,1.93,0.0304,0.5485,38,HIGH,?,31.51,,,
2026-04-29 02:23 UTC,EPL,Arsenal,Fulham,2026-05-02 16:30,AWAY,betfair_ex_uk,8.6,0.0211,0.1374,41,HIGH,+0.185,11.95,,,
2026-04-29 02:23 UTC,EPL,Manchester United,Liverpool,2026-05-03 14:30,AWAY,betfair_ex_uk,2.92,0.021,0.3635,41,HIGH,+0.164,15.99,,,
2026-04-29 02:23 UTC,EPL,Nottingham Forest,Newcastle United,2026-05-10 13:00,DRAW,betfair_ex_uk,3.75,0.0206,0.2873,31,HIGH,+0.045,14.07,,,
2026-04-29 02:23 UTC,EPL,Bournemouth,Crystal Palace,2026-05-03 13:00,AWAY,betfair_ex_uk,5.3,0.0205,0.2091,41,HIGH,+0.362,12.58,,,
2026-04-29 02:23 UTC,Bundesliga,TSG Hoffenheim,VfB Stuttgart,2026-05-02 13:30,AWAY,matchbook,2.84,0.0213,0.3734,41,HIGH,+0.029,16.43,,,
2026-04-29 02:23 UTC,Serie A,Sassuolo,AC Milan,2026-05-03 13:00,HOME,matchbook,5.1,0.0212,0.2173,41,HIGH,+0.041,13.2,,,
2026-04-29 02:23 UTC,Championship,Blackburn Rovers,Leicester City,2026-05-02 11:30,HOME,smarkets,2.3,0.0263,0.4611,39,HIGH,+0.012,23.28,,,
2026-04-29 02:23 UTC,Championship,Bristol City,Stoke City,2026-05-02 11:30,DRAW,matchbook,4.0,0.0233,0.2733,39,HIGH,+0.062,15.53,,,
2026-04-29 02:23 UTC,Championship,Portsmouth,Birmingham City,2026-05-02 11:30,HOME,matchbook,2.52,0.0225,0.4194,39,HIGH,+0.080,18.71,,,
2026-04-29 02:23 UTC,Championship,Blackburn Rovers,Leicester City,2026-05-02 11:30,AWAY,betfair_ex_uk,3.25,0.0222,0.3299,39,HIGH,+0.046,16.04,,,
2026-04-29 02:23 UTC,Championship,Derby County,Sheffield United,2026-05-02 11:30,AWAY,matchbook,4.7,0.0217,0.2344,39,HIGH,+0.041,13.74,,,
2026-04-29 02:23 UTC,Ligue 1,Angers,Strasbourg,2026-05-10 19:00,AWAY,betfair_ex_uk,2.12,0.0279,0.4996,24,MED,+0.085,26.41,,,
2026-04-29 02:23 UTC,Ligue 1,Lille,Le Havre,2026-05-03 13:00,HOME,smarkets,1.45,0.0246,0.7143,41,HIGH,+0.091,39.71,,,
2026-04-29 02:23 UTC,Ligue 1,Auxerre,Angers,2026-05-03 15:15,AWAY,matchbook,5.6,0.0239,0.2025,41,HIGH,+0.059,14.57,,,
2026-04-29 02:23 UTC,Ligue 1,Strasbourg,Toulouse,2026-05-03 15:15,HOME,betfair_ex_uk,2.46,0.0208,0.4273,41,HIGH,+0.303,17.52,,5,
2026-04-29 02:23 UTC,Bundesliga 2,Holstein Kiel,Eintracht Braunschweig,2026-05-02 11:00,HOME,betfair_ex_uk,2.2,0.0224,0.477,38,HIGH,+0.008,20.58,,,
2026-04-29 02:23 UTC,Bundesliga 2,Karlsruher SC,SV Darmstadt 98,2026-05-03 11:30,DRAW,betfair_ex_uk,4.1,0.0221,0.266,38,HIGH,+0.022,14.61,,,
2026-04-29 02:26 UTC,EPL,Arsenal,Fulham,2026-05-02 16:30,AWAY,betfair_ex_uk,8.6,0.0211,0.1374,41,HIGH,+0.185,11.95,,,
2026-04-29 02:26 UTC,EPL,Manchester United,Liverpool,2026-05-03 14:30,AWAY,betfair_ex_uk,2.92,0.021,0.3635,41,HIGH,+0.164,15.99,,,
2026-04-29 02:26 UTC,EPL,Nottingham Forest,Newcastle United,2026-05-10 13:00,DRAW,betfair_ex_uk,3.75,0.0206,0.2873,31,HIGH,+0.045,14.07,,,
2026-04-29 02:26 UTC,EPL,Bournemouth,Crystal Palace,2026-05-03 13:00,AWAY,betfair_ex_uk,5.3,0.0205,0.2091,41,HIGH,+0.362,12.58,,5,
